"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060000028","277431","7450"
"T20060000192","43531","7321"
"T20060000198","29996","1255"
"T20060000201","37019","7008"
"T20060000202","50283","7923"
"T20060000206","43632","6987"
"T20060000286","55769","7241"
"T20060000343","43935","103317"
"T20060000363","43630","7023"
"T20060000398","43282","6977"
"T20060000431","43599","7388"
"T20060000549","35791","1388"
"T20060000625","1131","7586"
"T20060000722","43567","7430"
"T20060000797","46898","9992"
"T20060000835","29764","7159"
"T20060000871","22510","2293"
"T20060000882","39580","9088"
"T20060000914","73111","7486"
"T20060000978","39255","101340"
"T20060000998","1062","7584"
"T20060001006","29836","9639"
"T20060001010","36950","8889"
"T20060001038","46908","9427"
"T20060001160","35619","6760"
"T20060001164","43517","7301"
"T20060001201","29836","9639"
"T20060001231","57654","7346"
"T20060001265","793","1000"
"T20060001276","48996","9309"
"T20060001369","19","9518"
"T20060001395","52313","1365"
"T20060001428","35668","7042"
"T20060001464","49187","1266"
"T20060001507","29768","7202"
"T20060001571","57648","7293"
"T20060001607","41390","6283"
"T20060001764","29470","5632"
"T20060001806","43975","7482"
"T20060001897","43270","6964"
"T20060001962","222123","1027"
"T20060001983","29821","9448"
"T20060002025","38564","9576"
"T20060002077","29425","9710"
"T20060002113","41650","100046"
"T20060002113","41650","100497"
"T20060002113","41650","100498"
"T20060002115","43858","7154"
"T20060002121","40205","5914"
"T20060002259","36230","9612"
"T20060002324","29592","9867"
"T20060002375","36261","9613"
"T20060002381","39320","5514"
"T20060002419","29464","9836"
"T20060002442","249","9716"
"T20060002445","53521","6661"
"T20060002493","43282","6977"
"T20060002507","36173","7022"
"T20060002588","203042","10011"
"T20060002606","55528","9883"
"T20060002623","673","6142"
"T20060002648","49935","7716"
"T20060002665","119","9806"
"T20060002666","37597","9830"
"T20060002670","46537","5607"
"T20060002681","70738","6810"
"T20060002689","22","9553"
"T20060002711","38220","8685"
"T20060002715","91659","5693"
"T20060002810","52861","2378"
"T20060002819","44623","101274"
"T20060002888","49988","101874"
"T20060002987","37214","9747"
"T20060003008","41832","6239"
"T20060003011","30020","9945"
"T20060003016","49281","2373"
"T20060003026","118908","9518"
"T20060003053","35841","2317"
"T20060003063","35320","7284"
"T20060003067","44463","7723"
"T20060003147","50190","7820"
"T20060003170","70797","6832"
"T20060003193","50667","8021"
"T20060003231","55445","101991"
"T20060003241","38250","5097"
"T20060003271","49997","7732"
"T20060003312","10592","1000"
"T20060003319","29719","6875"
"T20060003344","46152","7383"
"T20060003349","44382","9950"
"T20060003384","55536","5177"
"T20060003388","41762","6337"
"T20060003394","35407","9838"
"T20060003406","43028","6708"
"T20060003438","55542","8954"
"T20060003441","47356","8995"
"T20060003489","36593","5044"
"T20060003529","1016","7177"
"T20060003545","29384","6503"
"T20060003599","37890","9257"
"T20060003634","55539","9717"
"T20060003646","41","7095"
"T20060003761","38220","8685"
"T20060003782","127","9034"
"T20060003889","883","9196"
"T20060003946","36248","7262"
"T20060003954","40951","5659"
"T20060004038","46824","7782"
"T20060004061","49990","7730"
"T20060004066","1179","7148"
"T20060004118","37302","9683"
"T20060004129","42157","6480"
"T20060004156","249","9716"
"T20060004168","35304","9569"
"T20060004179","39785","5546"
"T20060004221","45906","9971"
"T20060004243","55924","7379"
"T20060004252","47029","9687"
"T20060004311","55553","7525"
"T20060004347","29559","5437"
"T20060004540","43923","7357"
"T20060004554","24804","7110"
"T20060004706","45881","1030"
"T20060004723","29517","9546"
"T20060004792","37962","9268"
"T20060004897","37388","7137"
"T20060004945","478","5381"
"T20060005015","29694","6796"
"T20060005039","478","5381"
"T20060005252","119","9806"
"T20060005261","38761","8788"
"T20060005280","29743","7441"
"T20060005289","36213","9579"
"T20060005321","39785","5546"
"T20060005399","35408","9851"
"T20060005416","41910","6076"
"T20060005503","38524","9502"
"T20060005524","726","5990"
"T20060005563","29637","6175"
"T20060005569","29396","100875"
"T20060005574","44062","7577"
"T20060005615","40894","5731"
"T20060005624","35413","5742"
"T20060005702","35805","3103"
"T20060005731","46824","7782"
"T20060005789","35841","2317"
"T20060005802","44318","10000"
"T20060005863","29836","9639"
"T20060005880","29435","8909"
"T20060005885","42752","6728"
"T20060005888","16791","101443"
"T20060005890","612","5758"
"T20060005912","43584","7434"
"T20060005929","1319","8782"
"T20060005950","36287","9614"
"T20060005954","36997","101890"
"T20060005964","38556","8704"
"T20060005981","35642","7427"
"T20060006031","43027","6714"
"T20060006033","35526","5599"
"T20060006054","43436","7308"
"T20060006136","169","9602"
"T20060006172","53517","8015"
"T20060006198","54037","2323"
"T20060006222","35482","5342"
"T20060006236","44660","8935"
"T20060006242","19500","4093"
"T20060006253","35860","6912"
"T20060006266","47705","1027"
"T20060006321","40708","5648"
"T20060006322","42816","6815"
"T20060006340","10412","5184"
"T20060006373","39425","5482"
"T20060006380","46571","7620"
"T20060006396","998","8809"
"T20060006436","29743","7441"
"T20060006616","41936","6056"
"T20060006622","39578","5442"
"T20060006670","41261","103324"
"T20060006786","40490","103203"
"T20060006890","55455","6753"
"T20060006896","919","7233"
"T20060006950","43855","7123"
"T20060006953","45878","100770"
"T20060006958","38442","5079"
"T20060006980","35668","7042"
"T20060007002","50051","7749"
"T20060007110","39425","5482"
"T20060007127","43974","7478"
"T20060007170","39774","5307"
"T20060007190","39559","5498"
"T20060007198","44492","9148"
"T20060007258","40756","5923"
"T20060007275","39361","5426"
"T20060007450","36230","9612"
"T20060007523","41018","5735"
"T20060007527","49096","5031"
"T20060007528","38755","8752"
"T20060007533","53276","8963"
"T20060007551","45641","9440"
"T20060007599","12246","5693"
"T20060007790","15462","7954"
"T20060007802","36221","9522"
"T20060007857","39425","5482"
"T20060007882","42291","6389"
"T20060007887","55567","4162"
"T20060007901","48893","6562"
"T20060008041","55457","101526"
"T20060008137","29387","9715"
"T20060008148","45118","9433"
"T20060008199","43875","7242"
"T20060008220","36206","9535"
"T20060008221","43975","7482"
"T20060008241","47642","5290"
"T20060008307","52494","1024"
"T20060008339","29893","9581"
"T20060008438","55575","100169"
"T20060008454","49996","7731"
"T20060008465","35579","6376"
"T20060008467","43620","6919"
"T20060008474","323","102169"
"T20060008522","49906","7712"
"T20060008611","35546","6032"
"T20060008714","1188","9217"
"T20060008723","44047","9050"
"T20060008746","795","6354"
"T20060008804","26160","2162"
"T20060008819","42819","6843"
"T20060008825","33879","1002"
"T20060008833","29372","9496"
"T20060008840","45228","9314"
"T20060008845","29836","9639"
"T20060008855","35622","6668"
"T20060008873","29746","6961"
"T20060008928","43641","7036"
"T20060008979","33702","5907"
"T20060008999","56191","9636"
"T20060009076","55585","4241"
"T20060009093","169","9602"
"T20060009105","85","1005"
"T20060009193","35323","5356"
"T20060009202","43923","7357"
"T20060009206","53359","2317"
"T20060009213","29372","9496"
"T20060009263","29396","100875"
"T20060009266","55588","9095"
"T20060009294","55589","5179"
"T20060009328","42155","6491"
"T20060009329","81","6301"
"T20060009343","43631","6965"
"T20060009362","49343","3030"
"T20060009419","35484","9847"
"T20060009449","48501","6067"
"T20060009463","41464","6025"
"T20060009486","37295","9643"
"T20060009518","41832","6239"
"T20060009574","53892","7667"
"T20060009586","45642","9463"
"T20060009679","41837","6300"
"T20060009687","37855","9253"
"T20060009714","38475","5060"
"T20060009745","50635","8007"
"T20060009825","36321","6597"
"T20060009830","44633","9239"
"T20060009854","534","5396"
"T20060009892","37793","9277"
"T20060009901","34518","9259"
"T20060009964","38258","8733"
"T20060009966","42919","6625"
"T20060009973","40803","5605"
"T20060009996","44382","9950"
"T20060010003","249","9716"
"T20060010032","38437","5099"
"T20060010035","40914","5910"
"T20060010043","39774","5307"
"T20060010148","35304","9569"
"T20060010152","44375","9946"
"T20060010165","35631","6966"
"T20060010258","19433","103100"
"T20060010279","46905","5210"
"T20060010280","32859","6814"
"T20060010298","192931","6575"
"T20060010304","48196","7031"
"T20060010349","40697","5816"
"T20060010369","41936","6056"
"T20060010387","203649","8818"
"T20060010406","55478","5254"
"T20060010413","36651","6949"
"T20060010425","41640","6182"
"T20060010434","39192","5252"
"T20060010439","39267","5408"
"T20060010508","41953","6081"
"T20060010511","37585","9807"
"T20060010522","40914","5910"
"T20060010532","39793","5544"
"T20060010547","43920","7268"
"T20060010575","55599","1305"
"T20060010585","29386","9497"
"T20060010619","11590","9808"
"T20060010639","53184","1001"
"T20060010639","53184","9585"
"T20060010658","39668","5393"
"T20060010681","35724","9919"
"T20060010722","35438","8901"
"T20060010738","39775","5304"
"T20060010767","42197","6549"
"T20060010782","42746","6610"
